"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS3"
"TIMESTAMP","RECORD","SMT_M_SOIL_001","SMT_M_SOIL_002","SMT_M_SOIL_003","SMT_M_SOIL_004","SMT_T_SOIL_001","SMT_T_SOIL_002","SMT_T_SOIL_003","SMT_T_SOIL_004"
"TS","RN","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-26 01:00:00",61,14.18,18.19,16.23,16.59,"NAN","NAN","NAN","NAN"
"2016-02-26 01:10:00",62,14.08,18.05,16.12,16.48,"NAN","NAN","NAN","NAN"
"2016-02-26 01:20:00",63,13.97,17.9,16.01,16.37,"NAN","NAN","NAN","NAN"
"2016-02-26 01:30:00",64,13.86,17.75,15.89,16.25,"NAN","NAN","NAN","NAN"
"2016-02-26 01:40:00",65,13.75,17.59,15.77,16.14,"NAN","NAN","NAN","NAN"
"2016-02-26 01:50:00",66,13.63,17.44,15.64,16.02,"NAN","NAN","NAN","NAN"
"2016-02-26 02:00:00",67,13.5,17.27,15.52,15.9,"NAN","NAN","NAN","NAN"
"2016-02-26 02:10:00",68,13.37,17.1,15.39,15.77,"NAN","NAN","NAN","NAN"
"2016-02-26 02:20:00",69,13.23,16.92,15.27,15.65,"NAN","NAN","NAN","NAN"
"2016-02-26 02:30:00",70,13.1,16.74,15.14,15.52,"NAN","NAN","NAN","NAN"
"2016-02-26 02:40:00",71,12.97,16.57,14.99,15.39,"NAN","NAN","NAN","NAN"
"2016-02-26 02:50:00",72,12.83,16.38,14.86,15.26,"NAN","NAN","NAN","NAN"
"2016-02-26 03:00:00",73,12.69,16.19,14.73,15.13,"NAN","NAN","NAN","NAN"
"2016-02-26 03:10:00",74,12.55,16.01,14.6,14.99,"NAN","NAN","NAN","NAN"
"2016-02-26 03:20:00",75,12.41,15.82,14.46,14.86,"NAN","NAN","NAN","NAN"
"2016-02-26 03:30:00",76,12.27,15.64,14.33,14.73,"NAN","NAN","NAN","NAN"
"2016-02-26 03:40:00",77,12.11,15.45,14.2,14.59,"NAN","NAN","NAN","NAN"
"2016-02-26 09:10:00",78,5.96,7.53,8.86,8.5,"NAN","NAN","NAN","NAN"
"2016-02-26 09:20:00",79,5.99,7.53,9,8.48,"NAN","NAN","NAN","NAN"
"2016-02-26 09:30:00",80,6.02,7.55,9.58,8.47,"NAN","NAN","NAN","NAN"
"2016-02-26 09:40:00",81,6.06,7.57,10.64,8.49,"NAN","NAN","NAN","NAN"
"2016-02-26 09:50:00",82,6.09,7.6,11.71,8.58,"NAN",0.07,0.02,"NAN"
"2016-02-26 10:00:00",83,6.13,7.65,12.93,8.92,"NAN",0.15,0.05,"NAN"
