"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAX"
"TIMESTAMP","RECORD","HMP_D_AIR_Avg","HMP_M_AH_Avg","HMP_M_E_Avg","HMP_M_SH_Avg","HMP_T_VIR_Avg","LICOR_F_CD_Avg","LICOR_F_CWAH_Avg","PYG_R_LWDR_Avg","PYG_R_LWUR_Avg","PYG_R_QSUR_Avg","SHF_F_SHF_000_Avg","SONIC_F_CUW_Avg","SONIC_F_CVW_Avg","SONIC_F_CWT_Avg","SONIC_F_HSUR_Avg","SONIC_F_LSUR_Avg","SONIC_V_VHOR_Avg","SONIC_V_WD_Avg"
"TS","RN","kg/m**3","g/m**3","hPa","g/kg","K","mg/(m**2s)","g/(m**2s)","W/m**2","W/m**2","W/m**2","W/m**2","m**2/s**2","m**2/s**2","K m/s","W/m**2","W/m**2","m/s","degree"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2016-02-25 18:00:00",19,1.265754,3.412601,4.336159,2.6961,275.8389,0.008279629,0.0001776495,262.8718,309.1671,-48.81882,-45.53805,0.0004765153,0.0002624342,-6.006332E-005,-0.07632951,0.4441239,0.1025488,297.5549
"2016-02-25 18:10:00",20,1.267113,3.409481,4.327808,2.690747,275.5574,0.01016451,0.0001285343,263.0668,307.7752,-47.64297,208.5871,-1.707544E-005,-0.0001343404,-6.63203E-005,-0.08437146,0.3213357,0.2160988,221.0689
"2016-02-25 18:20:00",21,1.267664,3.488139,4.425774,2.751628,275.4506,0.009558067,9.194709E-005,267.4757,307.5334,-42.67181,-42.81836,-6.464024E-005,-1.917917E-005,3.606064E-005,0.04589561,0.2298677,0.2298955,198.5801
"2016-02-25 18:30:00",22,1.268636,3.480657,4.413281,2.743622,275.2633,-0.02915853,-0.0002444871,271.7004,307.8158,-38.45938,-55.58321,-0.0005604323,0.0002117139,-4.641619E-005,-0.05912077,-0.6112179,0.2210257,186.7205
"2016-02-25 18:40:00",23,1.2692,3.493991,4.424679,2.752909,275.0429,0.03959602,0.0002884162,270.8277,307.4984,-38.97598,-62.1659,-0.0002473787,-0.0005069023,-0.0007605864,-0.9691974,0.7210404,0.2690197,199.2139
"2016-02-25 18:50:00",24,1.270269,3.502881,4.433228,2.75759,274.9078,0.01749547,0.0003565157,268.4835,306.9901,-40.70468,-66.88266,-0.000562972,0.0007139948,-0.004990553,-6.364702,0.8912892,0.2978283,168.604
"2016-02-25 19:00:00",25,1.271185,3.527017,4.463239,2.77459,274.7158,-0.00898366,-0.0002907797,272.1611,306.9867,-37.08917,-70.63041,-6.485842E-005,0.0007574465,0.003227021,4.118549,-0.7269493,0.3348096,168.5484
"2016-02-25 19:10:00",26,1.27199,3.569142,4.513644,2.80595,274.5474,-0.01565462,-0.0001371016,274.5752,307.3171,-34.67026,-73.7973,-3.00156E-005,-4.311046E-005,2.477225E-005,0.0316361,-0.3427539,0.1037402,182.1865
"2016-02-25 19:20:00",27,1.27252,3.548425,4.485677,2.788502,274.4273,0.03879106,0.000482535,273.2337,307.6143,-36.01254,-76.52209,0.0002776468,0.003537416,-0.0002097804,-0.2680176,1.206337,0.09891701,191.3888
"2016-02-25 19:30:00",28,1.273286,3.492863,4.412793,2.743188,274.2643,0.00414802,6.861021E-005,256.6816,304.7921,-50.69278,-78.78738,-0.0001127906,5.049945E-005,-0.00152019,-1.943379,0.1715255,0.1202725,128.6985
"2016-02-25 19:40:00",29,1.275182,3.519526,4.440182,2.760019,273.8987,-0.00492364,-3.417417E-005,250.3506,302.4365,-55.28635,-80.72142,-0.0004041545,0.0002043897,-6.476755E-005,-0.08292077,-0.08543542,0.04394242,240.9267
"2016-02-25 19:50:00",30,1.274083,3.563142,4.496929,2.796632,273.7292,0.01102191,9.243214E-005,242.2565,300.4025,-61.65092,-82.8186,-0.0004320964,0.0001599733,-0.0002806284,-0.3589742,0.2310803,0.2790109,187.6599
"2016-02-25 20:00:00",31,1.276693,3.551629,4.475545,2.781896,273.611,0.008951448,-0.000130931,237.2498,298.6051,-64.90547,-85.24086,-0.0004340436,0.0002606651,-0.0001262007,-0.1617641,-0.3273274,0.4135777,167.6716
"2016-02-25 20:10:00",32,1.278325,3.476293,4.376151,2.719411,273.2758,0.01407729,0.0001988075,239.1111,297.9467,-62.31601,-87.63214,-0.00100884,0.0009789595,0.0005498922,0.7057529,0.4970186,0.297508,164.7283
"2016-02-25 20:20:00",33,1.280227,3.410896,4.287779,2.664289,272.8778,0.01794585,9.549789E-006,240.5925,296.8953,-59.55508,-89.70293,-0.0005757099,-0.0001912132,-0.0005434452,-0.6985162,0.02387447,0.2561954,165.0248
"2016-02-25 20:30:00",34,1.281878,3.383664,4.248304,2.639615,272.5586,0.003004173,2.183437E-005,238.2325,295.5334,-60.83983,-91.37963,0.0003297036,-4.319002E-005,0.0002407452,0.3098403,0.05458593,0.1415189,162.2326
"2016-02-25 20:40:00",35,1.283141,3.407209,4.273817,2.655366,272.2918,0.007747333,4.935852E-005,239.4823,294.8566,-58.76894,-92.71906,-7.267279E-005,-0.0004013769,-0.000616333,-0.7940054,0.1233963,0.3171711,210.3414
"2016-02-25 20:50:00",36,1.283602,3.440133,4.313764,2.680061,272.2086,0.0284532,0.0002317123,240.3936,294.2515,-57.21849,-93.81348,0.000440256,0.0001633817,-0.00020145,-0.2596161,0.5792807,0.1339448,203.688
"2016-02-25 21:00:00",37,1.284863,3.422804,4.288159,2.663944,271.9655,0.01481943,1.214602E-005,242.5613,294.0939,-54.82979,-94.70544,-3.71951E-005,-0.0002114551,-0.0001048939,-0.1353134,0.03036504,0.1420272,191.6465
"2016-02-25 21:10:00",38,1.285238,3.467902,4.343634,2.698257,271.9159,0.1737573,0.001486583,239.1982,293.5882,-57.54134,-95.42556,-9.379315E-005,-0.0001173121,-0.0005644588,-0.7283658,3.716459,0.3533067,211.356
"2016-02-25 21:20:00",39,1.285987,3.434591,4.299515,2.670781,271.7452,0.0003257953,0.000121774,233.866,292.0126,-61.44084,-96.01509,-0.0007029888,0.0002522068,-0.0001324359,-0.1709922,0.3044351,0.2146603,208.8293
"2016-02-25 21:30:00",40,1.286704,3.424756,4.284886,2.661649,271.5797,-0.01860837,-0.0001463821,232.4382,290.9498,-62.14084,-96.49779,0.0003545535,0.0002781537,-0.0002409321,-0.3112484,-0.3659554,0.1709754,152.1328
"2016-02-25 21:40:00",41,1.286992,3.4465,4.310992,2.677951,271.5435,21.58477,0.1934156,232.0606,290.4437,-61.95178,-96.89471,690.2739,692.6582,1236.989,1598363,483.5389,10.72271,193.7965
"2016-02-25 21:50:00",42,1.287522,3.399814,4.251121,2.640587,271.4393,0,0,232.2135,289.6611,-61.13176,-97.23414,0,0,0,0,0,141.4214,195
"2016-02-25 22:00:00",43,1.287492,3.416147,4.271621,2.653334,271.4117,0,0,231.6193,289.3883,-61.21689,-97.52487,0,0,0,0,0,141.4214,195
"2016-02-25 22:10:00",44,1.287333,3.434628,4.294839,2.66802,271.4318,0,0,231.2804,289.1554,-61.22629,-97.82513,0,0,0,0,0,141.4214,195
"2016-02-25 22:20:00",45,1.288595,3.366055,4.204858,2.61219,271.1667,0,0,230.8285,288.6038,-61.32776,-98.11087,0,0,0,0,0,141.4214,195
"2016-02-25 22:30:00",46,1.288696,3.403005,4.250761,2.640658,271.1501,51.05467,0.3501842,230.7989,288.2854,-60.86215,-98.39916,2314.924,2318.747,4144.922,5362911,875.4605,51.99352,194.9193
"2016-02-25 22:40:00",47,1.288368,3.436033,4.2929,2.666966,271.2079,0.002959253,-4.77758E-005,230.8777,288.5623,-61.00232,-98.69799,-4.642236E-005,0.0007277189,-8.56542E-005,-0.1107955,-0.1194395,0.3242344,143.9196
"2016-02-25 22:50:00",48,1.288489,3.435311,4.291348,2.666155,271.1555,-0.01856828,-4.829899E-005,230.7124,288.5271,-61.12311,-99.00935,-0.0003196741,0.000372406,-2.470799E-006,-0.003196331,-0.1207475,0.3813083,144.8227
"2016-02-25 23:00:00",49,1.28909,3.419563,4.269623,2.652696,271.0418,0.02172278,0.000154244,230.0166,288.1852,-61.28432,-99.34235,0.0004701186,0.0003076624,-0.0002532328,-0.3277456,0.38561,0.4570326,134.7685
"2016-02-25 23:10:00",50,1.289349,3.416867,4.265603,2.650071,270.9971,0.004021844,-1.151219E-005,229.893,287.4344,-60.80006,-99.68481,0.0002477438,-2.971431E-005,-0.0002067471,-0.2676355,-0.02878049,0.3906147,144.2324
"2016-02-25 23:20:00",51,1.289121,3.446313,4.303085,2.673383,271.0585,1.132774,-0.2960095,229.7641,287.2215,-60.6398,-100.0232,2260.881,2266.535,4049.276,5240886,-740.0239,92.35118,194.9583
"2016-02-25 23:30:00",52,1.289453,3.435445,4.288465,2.664265,270.9745,0.01277942,6.050896E-005,229.7386,287.078,-60.49744,-100.3544,0.00012401,0.000540636,0.0003272822,0.4237032,0.1512724,0.4553293,143.4101
"2016-02-25 23:40:00",53,1.290188,3.405349,4.248389,2.63942,270.8087,0.01467644,2.850098E-005,229.3223,286.8341,-60.56758,-100.6941,-2.8298E-005,-0.0004164084,-0.0002403451,-0.3113309,0.07125245,0.4110225,164.3605
"2016-02-25 23:50:00",54,1.290841,3.395134,4.233539,2.630173,270.6871,0.0157702,6.751186E-006,229.1334,287.405,-61.32825,-101.0014,0.001184623,-8.690835E-005,5.467294E-005,0.07085635,0.01687797,0.4076713,139.1514
"2016-02-26 00:00:00",55,1.291228,3.386692,4.221721,2.622845,270.5932,-0.00152545,6.236974E-005,229.1515,286.3255,-60.27763,-101.3101,-0.0003157863,0.0004743489,-0.0002880871,-0.3734742,0.1559244,0.3237554,159.1646
"2016-02-26 00:10:00",56,1.291345,3.391854,4.227625,2.626605,270.545,0.001965258,-2.570386E-005,229.4798,285.9059,-58.85939,-100.0029,0.000593258,-0.0001338433,-2.654135E-005,-0.03441115,-0.06425966,0.3536341,181.4506
"2016-02-26 00:20:00",57,1.291743,3.389841,4.223897,2.624239,270.4863,-0.009461249,-4.256875E-005,229.3631,285.476,-58.90842,-85.69335,-0.001594693,0.0003995869,-0.0001630768,-0.2114958,-0.1064219,0.2565258,158.3326
"2016-02-26 00:30:00",58,1.291723,3.413023,4.253092,2.642225,270.4986,0.04471353,-6.445823E-005,229.2901,285.3653,-58.80072,-85.93704,0.00205696,-0.001202065,-0.0001462826,-0.1897125,-0.1611456,0.3482024,271.0638
"2016-02-26 00:40:00",59,1.291597,3.42973,4.274292,2.655417,270.5244,0.007461377,8.393798E-005,229.4795,285.802,-58.9429,-86.1836,0.0002218464,0.0001780421,-4.934482E-005,-0.06398857,0.2098449,0.185381,214.2438
"2016-02-26 00:50:00",60,1.292223,3.400201,4.235449,2.631279,270.391,-0.01548617,-9.959364E-005,229.2592,285.8283,-59.38458,-86.44685,-0.0003242004,0.000244137,-2.029946E-005,-0.02633637,-0.2489841,0.1364063,161.566
"2016-02-26 01:00:00",61,1.29229,3.417595,4.256864,2.644605,270.3827,0.01323965,0.0001230398,229.0631,286.7644,-60.29103,-86.72515,0.0004280754,-0.0003024234,-0.0003327015,-0.4316665,0.3075995,0.3590825,169.3064
"2016-02-26 01:10:00",62,1.293242,3.365586,4.188922,2.60244,270.1695,0.04428953,0.0006598437,229.0502,285.9398,-59.86591,-87.01058,0.0003297815,-0.0005770737,-0.0001229338,-0.1596191,1.649609,0.09956209,190.3018
"2016-02-26 01:20:00",63,1.293127,3.387105,4.216091,2.619313,270.1913,-0.005161321,5.819026E-005,229.0171,286.1155,-59.84338,-87.29671,8.717371E-005,-0.0002363136,7.561538E-005,0.09817143,0.1454756,0.2590751,142.9258
"2016-02-26 01:30:00",64,1.293164,3.384603,4.21286,2.617304,270.1789,-0.01685376,-0.000458209,229.217,286.0161,-59.57442,-87.57883,-0.0008457065,0.0006958493,-0.000175985,-0.2284878,-1.145522,0.2604859,167.5558
"2016-02-26 01:40:00",65,1.293308,3.372936,4.197592,2.607991,270.1259,-0.01190746,2.124615E-005,229.0943,286.1705,-59.78568,-87.85878,-0.0001485893,-2.191588E-005,1.714099E-006,0.002225726,0.05311536,0.3259184,181.608
"2016-02-26 01:50:00",66,1.293713,3.348252,4.165198,2.588094,270.013,-0.03171606,-0.0002801755,228.8699,285.7796,-59.58218,-88.11471,0.0002997746,0.0002795818,0.0002063913,0.2680793,-0.7004387,0.2186422,168.985
"2016-02-26 02:00:00",67,1.29398,3.346526,4.161998,2.586228,269.9548,0.1269756,0.002754029,228.6512,285.9065,-60.10558,-88.34511,0.000773754,8.689822E-005,0.0003015499,0.3917601,6.885072,0.2787678,139.0516
"2016-02-26 02:10:00",68,1.293399,3.375998,4.200094,2.610175,270.0283,0.03733504,-0.0006748461,228.8545,287.3027,-60.8383,-88.5414,-0.001882392,0.0004454105,-0.0006311812,-0.8196346,-1.687115,0.4469266,134.2836
"2016-02-26 02:20:00",69,1.29337,3.376559,4.200218,2.610667,270.0007,0.03675116,-0.0005744279,228.6751,287.5556,-61.16078,-88.71352,-0.001744193,0.001969009,-0.0006548315,-0.8503274,-1.43607,0.5638366,145.491
"2016-02-26 02:30:00",70,1.293722,3.365685,4.185389,2.601552,269.9407,0.004303833,-0.000427212,228.2456,286.8467,-61.10817,-88.84486,-0.0001651564,0.0005621451,-0.0004963153,-0.6446624,-1.06803,0.3498577,160.679
"2016-02-26 02:40:00",71,1.294257,3.334306,4.144616,2.576232,269.8001,0.03344375,0.0007003364,228.0362,285.8752,-60.62766,-88.94913,0.000101495,0.0009811397,-0.0001872362,-0.2433011,1.750841,0.2606869,176.9568
"2016-02-26 02:50:00",72,1.294468,3.320215,4.125981,2.564927,269.7178,-0.1039724,-0.002187319,227.961,285.5143,-60.244,-89.01231,-0.0006052382,0.0005116176,-0.0009290946,-1.207494,-5.468298,0.3221765,170.8217
"2016-02-26 03:00:00",73,1.295104,3.290217,4.086417,2.540504,269.58,-0.09109402,-0.001566629,227.8512,285.0869,-60.16672,-89.05688,-7.981574E-005,0.0007178594,-0.0001438156,-0.1870013,-3.916572,0.189786,153.1056
"2016-02-26 03:10:00",74,1.29468,3.32446,4.130155,2.567785,269.6687,-0.06525862,-0.001291737,227.2191,286.6682,-61.92108,-89.08036,-0.0001727552,0.0007135808,-0.000817812,-1.06304,-3.229342,0.6149868,134.8268
