"TOA5","EBM1","CR3000","8941","CR3000.Std.27","CPU:KC.EBM1_16.02.18.CR3","16128","DAS2"
"TIMESTAMP","RECORD","SONIC_T_VIR","SONIC_V_U","SONIC_V_V","SONIC_V_W","LICOR_D_CD","LICOR_M_AH"
"TS","RN","Deg C","m/s","m/s","m/s","mg/m**3","g/m**3"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-02-25 14:48:39.96",66,8.143768,1.22,-0.17,0.52,759.5411,4.942846
"2016-02-25 14:48:40",67,8.210632,1.16,-0.12,0.6,759.4875,4.951908
"2016-02-25 14:48:40.04",68,8.177185,1.08,-0.12,0.61,759.3946,4.961178
"2016-02-25 14:48:40.08",69,8.210632,1.08,-0.15,0.58,759.3573,4.965842
"2016-02-25 14:48:40.12",70,8.24408,1.09,-0.15,0.59,759.1747,4.982227
"2016-02-25 14:48:40.16",71,8.277527,1.12,-0.23,0.58,759.024,4.978258
"2016-02-25 14:48:40.24",72,8.310974,1.14,-0.29,0.61,759.4756,4.946357
"2016-02-25 14:48:40.28",73,8.277527,1.15,-0.29,0.58,759.4521,4.942923
"2016-02-25 14:48:40.32",74,8.310974,1.19,-0.3,0.61,759.7391,4.926833
"2016-02-25 14:48:40.36",75,8.310974,1.17,-0.34,0.6,759.6288,4.918169
"2016-02-25 14:48:40.4",76,8.344391,1.11,-0.36,0.69,759.593,4.926757
"2016-02-25 14:48:40.44",77,8.277527,1.23,-0.42,0.74,759.4789,4.941507
"2016-02-25 14:48:40.52",78,8.177185,1.25,-0.4,0.54,759.7022,4.922263
"2016-02-25 14:48:40.56",79,8.076904,1.35,-0.45,0.31,759.7525,4.919997
"2016-02-25 14:48:40.6",80,8.177185,1.24,-0.55,0.44,759.7175,4.932072
"2016-02-25 14:48:40.64",81,8.277527,1.22,-0.63,0.52,759.6075,4.939006
"2016-02-25 14:48:40.68",82,8.24408,1.2,-0.71,0.53,759.6626,4.938506
"2016-02-25 14:48:40.72",83,8.310974,1.04,-0.64,0.56,759.7563,4.931263
"2016-02-25 14:48:40.8",84,8.277527,1.05,-0.8,0.64,759.9461,4.910164
"2016-02-25 14:48:40.84",85,8.210632,1.07,-0.96,0.44,759.9074,4.915441
"2016-02-25 14:48:40.88",86,8.110352,0.72,-0.77,0,759.895,4.92296
"2016-02-25 14:48:40.92",87,8.010071,0.8,-0.82,-0.1,759.96,4.911929
"2016-02-25 14:48:41",88,8.010071,0.79,-0.65,-0.11,759.5169,4.960886
"2016-02-25 14:48:41.04",89,7.943207,0.81,-0.3,-0.55,759.4559,4.965762
"2016-02-25 14:48:41.08",90,7.943207,1.23,-0.3,-0.41,759.2861,4.978211
"2016-02-25 14:48:41.12",91,7.976624,1.24,-0.24,-0.27,759.4066,4.970936
"2016-02-25 14:48:41.2",92,8.010071,1.19,-0.21,-0.33,759.405,4.975306
"2016-02-25 14:48:41.24",93,8.043488,1.15,-0.32,-0.18,759.4642,4.974166
"2016-02-25 14:48:41.28",94,8.010071,1.09,-0.23,-0.15,759.4147,4.980921
"2016-02-25 14:48:41.32",95,8.010071,1.09,0,-0.27,759.3262,4.976248
